Lang	Sents	Source	English
guw	315588	6880939	5637089
afh	10	46	54
pih	70	4212	4128
bas	29129	628100	503984
sma	47	188	228
cho	115	621	651
sxn	12193	231352	199305
psr	12956	219177	218867
lbe	3	59	58
zul	1058818	14309897	19154238
hmo	253006	4967280	4487249
bul	2494509	60222910	63498549
dik	13461	387343	357344
mnw	9	64	87
rmy	23	2519	2445
arn	17447	281001	301658
ceb	1068460	21785074	19548068
gla	2552	62019	60972
mhr	71	388	493
war	312649	6492847	5589333
prl	23085	413369	423248
kau	321	3112	1523
cce	18774	351674	307799
aed	66566	1223143	1239645
oar	4	48	52
pnt	10	2499	2500
yid	28311	234772	247055
cor	4278	34391	33862
hoc	660	3139	3638
pap	420007	8464510	7514760
cni	15519	338107	410545
sag	273423	6771568	4948254
frm	18	216	230
deu	7389184	182855925	186230854
mgr	47143	751927	805282
aym	161505	2184098	3033329
koo	38829	589925	656795
kea	5630	104953	92596
bel	6679	44263	51493
gaa	452029	9659612	8202042
tur	46456222	292532364	401037577
cjy	6	37	25
pso	21417	318041	386032
npi	111	411	488
kwy	186906	3079327	3232196
usp	15771	505556	417247
fuv	35	156	184
mxv	6231	181766	107630
fin	11377471	216024604	252227093
toi	321291	4529070	5676165
kat	826285	8015332	12794835
bts	15024	238482	246317
orm	171009	2740477	2963180
mar	362564	5105341	7735994
nds	127842	448351	428768
fkv	71	566	665
lit	7742867	149199009	161070100
pmy	63	676	290
lim	34956	183698	178461
nap	65	1710	1731
fon	33791	886562	568852
mgm	33	282	307
ibo	455668	10566477	8120274
mfs	95129	1759771	1769630
fil	5058	115016	106789
afb	80	330	402
dop	15889	564316	420474
bvl	17099	305283	311369
aoz	24	84	89
lao	23519	728618	493204
hak	3	16	15
xal	281	1691	2120
ext	78	617	664
avk	159	943	1234
ven	225211	5253698	3947299
lue	346962	4915804	6244564
tir	349097	5135038	6512026
ile	2643	21281	21198
lmo	147	7988	8025
tsn	864649	20827577	15517829
guc	57276	850505	1021617
pam	1519	11184	12626
ota	632	3617	4091
egl	84	507	468
che	16	150	117
min	701	141716	105434
tdt	120188	2462818	2157776
slk	8374271	169678199	179211635
que	146014	1809324	2632576
amu	15719	573528	415585
swc	570347	9028490	9822731
vro	8	75	92
kom	2	119	100
dtp	1884	13093	13079
dan	10472414	228354067	234972984
bpy	5	86	88
nau	59	3402	3433
mos	202317	4848557	3626809
atj	7	10818	10758
rap	26	155	115
ful	2	9	5
vsl	20768	372516	379652
ngl	41539	608774	707010
jbo	11900	95970	90735
cse	12160	182005	213546
wes	30666	659686	514586
gbm	39	184	165
ksh	49	10327	10121
aln	27	137	138
hrx	220	1324	1272
uig	97674	2775492	2866543
glk	32	164785	164973
jam	140	88791	89124
kpv	15	42	52
niu	235309	5603209	4142802
alt	4072	54308	72317
arz	549	2735	3698
lkt	21	90	108
oji	5	44	43
liv	33	165	195
non	15	142	146
fcs	13661	257831	243502
sqi	593658	14625674	14000894
bis	515612	12369061	9347010
kum	8	33	51
cop	15903	259126	420841
mal	558550	7604554	13357212
zho	27324347	1138549210	773055685
gug	155859	2229274	2829241
ang	13547	51803	41009
ind	994459	23752274	18783229
dty	62	2180	2105
pms	275	3729	2377
hsb	38	199	242
bfi	20325	341112	342662
sah	90	3391	3996
wae	1437	5133	4777
kwn	117232	1770483	2006731
msa	3128106	22587373	24608660
som	204778	4337874	5359309
ncj	63945	991914	1128006
tel	241917	2956877	4887309
arq	946	5747	7739
awa	279	1379	1376
tpw	93	537	538
psp	12616	207399	207441
brx	43	141	164
fse	22728	304314	407075
qvi	53598	690922	946437
quw	15855	295842	419634
ppl	33	187	234
hin	1655462	26443496	24588776
oci	3205	335408	354254
dyu	16030	331757	265261
djk	54707	1485684	1055241
mdf	10	90	98
kha	1314	9340	8793
srm	36481	864129	607565
mzy	2122	35728	36258
jak	15687	570363	415167
pys	14978	267695	272809
mfe	197148	4179084	3469072
fsl	13631	258406	245184
cbk	2493	17755	17398
pck	62191	1795671	1821510
spa	4730915	124091451	129070212
qug	20951	252415	355420
shs	43	267	230
gsg	17155	272608	303076
ilo	1005548	18569770	17749515
ncx	38915	538102	672511
bxr	86	34993	35886
gym	84906	1666140	1497471
bem	421551	6799555	7451251
zlm	81706	1192717	1432934
heb	30543701	210301510	267250145
nyk	124240	1802997	2184267
urd	1224242	31879214	29462681
miq	175	619	569
kmb	96995	2006325	1657446
tpi	424982	9469341	7455415
gss	7631	140796	143828
mri	78555	2227662	1879345
bua	17	70	83
zsm	1234	9586	10574
pol	8020154	167218572	175598776
khm	76709	2076155	2230675
hif	102	27496	28006
bod	5923	98463	42766
kor	1786812	65889310	34577989
ary	54	185	271
vec	19	1474	217
nep	312351	6187810	8920534
chv	74036	1067538	1341213
abk	24625	313369	446283
nlv	14	137	154
dje	61589	1948490	1803385
rmn	15351	262424	248844
ppk	14883	684387	392069
sna	832977	11851075	15767609
pot	4153	109968	111346
guj	344142	4417410	6603987
got	262	8946	3799
tyv	14274	206451	255904
new	75	16430	16677
ron	2316449	56526709	59648350
srp	42837694	296805528	365893423
mkd	337310	6787289	6874865
csb	5287	21608	23019
nya	855921	13518519	15516842
zsl	2295	37879	37495
zne	207195	4534096	3721956
gor	188	61250	18775
eus	1572750	15962461	20940337
nzi	100862	1849943	1733937
chk	224046	4495835	4157978
sat	268	31026	38017
fuc	6	21	26
hsh	14431	218453	260140
dsb	48	2220	3071
ami	9620	190180	178734
xmf	14265	179516	275877
pes	65375	1528988	1815066
sme	119	13609	14535
ace	1021	17860	17357
ngt	17	101	107
glg	364859	2818257	3265646
kss	39683	787784	667257
iba	36680	627099	607439
zza	522	2994	3299
frp	2566	8734	6434
nch	32916	487607	577175
por	9374047	258432208	253839938
dws	10	40	53
mon	172575	2490250	3403812
dua	16686	453433	276188
smo	402695	9620622	7222764
kek	64742	2276195	1864865
tsz	5383	82025	92644
zha	4	9547	9689
rus	26291124	645912958	683453236
nno	427608	2526091	2564164
cmn	45634	502322	386743
tss	12988	365664	244317
grn	490	46005	48121
kon	224893	4564526	4011201
mzn	99	4366	5615
kin	471451	8225738	8615715
rms	10873	200988	196208
arc	2	4	57
cha	14737	320729	354635
lat	85679	1490321	2299190
hye	389509	5604780	7323873
csr	3891	68344	69515
yua	184054	3645827	3416472
ssw	125902	1756918	2315861
pag	313096	5824361	5562878
pdt	6440	118498	107432
zpa	362	6340	6562
ckb	3452	12557	13084
trv	19	126	183
lad	399	2613	2852
hne	94676	504039	396448
jpn	714524	16305893	15276392
myv	57	3133	3316
oke	24562	471496	412889
hds	2755	48576	49155
lrc	3	102	114
srd	6398	90006	87761
tly	46	157	215
quc	15765	624437	416710
krl	148	695	721
ita	5347020	141583113	147360852
shi	15482	644515	408961
jdt	2	6	9
ori	38597	651623	794459
hau	355381	7485572	6880125
kmr	15950	280674	268118
gsw	253	2892	3193
fra	27876897	966746742	824499501
gsm	2001	35178	35952
kan	349562	4150970	7860272
crh	4123	23468	25227
ton	356795	11520025	6352973
mya	518740	12468107	11481661
koi	15	76	95
amh	755668	10991745	15933079
lfn	3539	46146	44229
mau	29247	508484	512675
gan	4	30	22
nia	36143	596641	616480
tso	838199	18447627	15513395
slv	8173464	166943622	175324471
nor	10855571	103559290	116610835
iso	236805	5094888	4193649
gil	219263	4903277	4000550
dzo	75	917	296
kur	100068	3510813	3024513
cdo	2	16	245
swg	18	108	103
ise	88094	1548366	1579309
nan	238	16962	15833
agr	12915	298520	341889
sml	29	138	140
tah	591186	17079375	11001138
nst	805	5948	4938
tsc	91180	1954403	1575390
qya	110	472	636
ewe	648407	13336169	11689390
wal	130377	1903654	2393926
sco	2747	328538	546733
yap	232132	6426454	4231724
vmw	78261	1211916	1359979
bos	25505412	178036394	220827383
rsl	47236	718059	873416
ipk	3	1287	1287
ast	64865	379473	342459
hun	7632631	151251297	161032287
fij	392655	8134779	6980962
max	281	2034	1908
rom	16238	426601	416019
snd	94335	2914979	2902563
bum	30106	638861	506613
jiv	13048	275177	346197
epo	304118	3527179	3865757
twi	591281	11742653	10599754
roh	16	205	216
btx	28673	445951	478858
toj	35878	683162	620501
kab	38662	771204	560681
fry	11555	50658	50668
plt	61915	1871715	1813545
ake	12490	509422	330409
kqn	241486	3869923	4243129
nav	15357	249790	268334
ike	49	150	258
lav	8809173	162640653	175586000
tll	244067	4389070	4330964
sid	50518	706577	870055
mni	7407	129458	164481
bzj	7457	139614	122860
mww	80	537	443
toh	4054	79029	66174
nso	609159	14195607	10972780
byn	4	5	5
ins	15845	262140	262296
fao	1294	8934	9320
bsn	12722	888814	339064
mic	8	26	35
umb	230689	4116134	4066442
zai	162152	2853365	2848901
tcy	95	36342	37510
tgl	1298074	26481063	23506396
wln	105263	516756	432510
fur	35200	233964	208603
ibg	33058	586624	554239
ase	149220	2582345	2582892
lam	15915	247180	277723
div	93623	2748906	2600534
san	197	8473	9300
cym	32882	630979	555362
lsp	3369	58947	59987
bzs	123987	2128880	2147792
wls	168350	4101683	2967862
sjn	32	163	189
gle	2462769	73761264	69321840
hmn	43793	924004	743575
nog	81	328	466
kik	103306	1770627	1794609
shn	287	3105	1110
rnd	144742	2517524	2516717
tha	6758928	75328095	70394836
aka	107	25887	17666
yao	47577	697884	816025
lub	215048	3664915	3863644
wol	15413	406632	407433
mad	7	52	40
cat	597674	6110566	6123159
lld	21	229	232
nhn	13	27	27
chy	6	5560	5704
csg	25079	447746	457261
dng	6	27	32
udm	10222	154339	180403
bar	109	2946	2988
alz	8221	159010	137135
pus	113477	854389	776087
lez	6	13310	13277
nba	28635	563168	477802
mvv	10	42	50
nij	13802	217068	225859
ain	26	117	154
esn	1386	24807	25120
nhg	15635	412899	413315
mai	43311	195487	172429
ara	29832866	753049647	853479359
pan	367302	6487436	7564752
syr	15978	220161	421003
gbi	15279	646802	403883
rif	41	163	194
gom	1191	276730	217633
sin	1393361	11332386	16146560
ttj	17282	258704	286312
bhw	23372	374139	388875
uzb	174083	2935635	3007841
cjp	15345	615412	405165
nyu	25946	428881	435874
nov	200	1440	1496
luo	151082	2698490	2592265
top	94845	1395219	1683319
lua	320649	5727689	5734604
bug	3	1540	1540
bak	28385	407546	521319
mam	60254	1454826	1196178
chr	15943	292074	422161
kac	11353	273794	187014
ckt	3	9	12
dhv	62836	1539858	1105663
kua	110226	2001466	1901397
swe	10200651	213453088	223310539
kam	55713	989375	961411
kbh	10514	490146	277565
ctu	28123	560580	489892
kir	296185	4090936	5639192
lus	203392	4417185	3650393
bre	91122	587849	561866
tzl	120	518	518
hnj	4	25	20
din	17	11474	11723
mco	71596	1134059	1301416
pnb	51	2529	2561
tat	347406	5980364	7068979
csn	92129	1703784	1716749
tgk	219987	3790083	4517447
oss	241931	3930000	4542249
mwl	4	21	25
rar	71754	1655292	1202849
nld	10571490	245166484	246138129
ido	15143	80873	80738
orv	322	1785	2193
lij	62	1721	1689
bin	12396	268348	212509
