Lang	Sents	Source	English
miq	75	178	153
mkd	333792	6729975	6816715
mlg	800235	17510341	16023703
mlt	4781062	128670288	127060790
mni	7399	129360	164264
mnw	9	64	87
mon	163543	2322123	3219276
mos	189441	4757044	3553836
mri	63753	2170348	1822701
mrj	1	64	60
msa	1958732	16868589	18196588
mvv	10	42	50
mwl	4	21	25
mww	80	537	443
mxv	5662	174768	103700
mya	494283	12191431	11254761
myv	41	308	370
mzn	69	1706	2228
mzy	244	4364	4447
nan	122	3650	3031
nap	36	317	262
nau	20	85	116
nav	14674	229773	248630
nba	27322	553775	470174
nch	30836	474145	557401
ncj	59405	965709	1092953
ncs	40	724	834
ncx	36559	524272	656060
ndc	30473	489795	528839
ndo	100708	1875030	1820845
nds	19798	99192	98263
nep	291156	4329194	6934037
new	49	1328	1503
ngl	39473	597985	695155
ngt	17	101	107
ngu	29855	463864	536368
nhg	15585	412201	412548
nhn	1	3	3
nia	34394	584093	605814
nij	13191	213518	222474
niu	218324	5478940	4040953
nld	8521257	215477664	216999244
nlv	14	137	154
nno	80183	650524	671466
nog	81	328	466
non	15	142	146
nor	9377467	97880627	110489963
nov	194	1340	1396
npi	111	411	488
nso	564390	13866604	10684236
nst	805	5948	4938
nya	792035	13140207	15110619
nyk	117766	1767119	2149282
nyn	50547	808091	913931
nyu	24556	420287	428090
nzi	93730	1808908	1694754
oar	4	48	52
oci	2273	60430	63140
ojb	13421	292363	356685
oji	5	44	43
oke	22536	459464	402202
ori	38225	645522	786025
orm	157430	2671411	2886207
orv	318	1774	2179
oss	229502	3856596	4452098
ota	631	3613	4087
pag	287277	5665946	5410867
pam	1496	9208	10564
pan	342356	6339597	7387254
pap	387987	8236804	7288162
pau	34	148	147
pck	61710	1788384	1814949
pcm	22215	467450	396234
pdc	73	779	813
pdt	6058	116253	105133
pes	64730	1521898	1807013
pfl	2	59	57
pih	58	2032	1741
pis	267850	5372629	5063020
plt	61367	1860025	1804375
pms	270	2682	2175
pmy	51	387	255
pnb	36	366	445
pnt	5	300	301
pol	6008316	140966403	147122485
pon	222720	4449945	4233943
por	8698865	244795908	241691367
pot	4146	109868	111257
ppk	14694	665975	387351
ppl	33	187	234
prg	213	1526	1717
prl	532	8583	9599
pso	20521	312888	380593
psr	3660	70150	69269
pus	30918	494789	433629
pys	536	10167	10266
quc	15703	622149	415562
que	136542	1760066	2568021
qug	20304	248162	350020
quw	15802	295287	418800
quy	115578	1419084	2185520
quz	129338	1666491	2471922
qvi	50673	673948	922713
qya	110	472	636
rap	26	155	115
rar	67779	1627751	1181782
rif	41	163	194
rmn	14590	257698	242285
rms	10454	198375	193698
rmy	12	583	523
rnd	135432	2464448	2467755
roh	16	205	216
rom	16189	425891	415340
ron	2248440	55223316	58284961
rsl	45065	705848	859912
rue	120	498	707
run	371416	6609181	6923726
rus	19797813	543017335	575341274
sag	254030	6625433	4829505
sah	73	1061	1559
san	157	837	1012
sat	123	3375	3717
scn	5	101	99
sco	936	45229	45998
seh	52551	858834	947242
sfs	44	619	667
sgs	51	218	377
shi	15414	642247	407682
shn	194	2262	780
shs	43	267	230
sid	46824	687070	847650
sin	955129	8359674	12521169
sjn	32	163	189
slk	6361092	144263011	150846817
slv	6142856	141366773	147055653
sma	47	188	228
sme	92	954	1345
sml	7	20	14
smo	370388	9376717	7021490
sna	776292	11534382	15410781
snd	91830	2729336	2714736
som	168463	3768757	4742569
sop	51178	940389	928707
spa	4606307	120315291	125267879
sqi	581587	14378241	13739621
srd	6091	51994	44671
srm	34902	850762	598417
srn	557337	14189694	10865067
srp	34767718	269487590	333491622
ssp	21347	388355	396882
ssw	117555	1703876	2254596
sun	16009	251977	273922
sux	43	240	217
svk	10166	159347	182819
swa	867389	15041864	16824465
swc	276475	4640978	4995178
swe	8143677	188049760	194164857
swg	18	108	103
swh	383	1868	2586
sxn	11698	228321	195641
syr	15885	219395	419259
szl	42	165	190
tah	556795	16670716	10717134
tam	666352	6438002	12312251
tat	334444	5849712	6932958
tcf	35352	853936	635885
tcy	59	1566	1892
tdt	113552	2403755	2123205
tel	225081	2865397	4640374
tet	417	11387	10712
tgk	212313	3731932	4440984
tgl	1180743	25757368	22822229
tha	4011596	54617013	48332745
tir	327335	5015086	6364628
tiv	187945	4869731	3513622
tlh	12942	78793	89279
tll	225930	4279905	4230414
tly	46	157	215
tmh	5408	169814	153818
tmw	5	23	34
tog	67596	1057687	1236079
toh	3902	78084	65348
toi	297390	4404424	5537057
toj	33926	669205	607407
ton	329277	11212987	6154902
top	87864	1355825	1632521
tpi	390072	9222789	7242460
tpw	92	534	535
trv	13	82	79
tsc	84981	1919589	1541565
tsn	794651	20255438	15043262
tso	771806	17540532	14665521
tss	12486	359007	241234
tsz	4957	79418	89968
ttj	16487	253400	281357
tuk	121286	1736785	2239116
tum	236371	3665292	4393762
tur	36840644	262006806	362782398
tvl	174725	5025170	3336054
twi	545503	11420185	10283623
tyv	13018	197904	246144
tzh	22551	530048	408828
tzl	120	518	518
tzo	142425	3023730	2705500
udm	9421	147917	173931
uig	94813	2626436	2726503
ukr	1767239	21900418	26384430
umb	215986	4034751	3984153
urd	1166676	29986029	27868554
urh	29448	595147	531602
usp	15710	504462	416272
uzb	140532	2677755	2793482
vec	18	130	126
ven	206886	5105098	3816810
vie	4210106	53704154	45612312
vmw	73350	1186690	1333800
vol	2408	12868	15915
vro	8	75	92
vsl	485	9035	9278
wae	579	2628	2702
wal	122192	1859850	2344035
war	285458	6279420	5389465
wes	28291	644272	500631
wln	16662	90600	74305
wls	156611	4016457	2895608
wol	15360	405865	406611
wuu	1177	15991	11993
xal	281	1691	2120
xho	939284	12807070	17363357
xmf	12828	168599	261558
yao	43829	677430	793803
yap	216031	6288814	4124156
yid	7197	43751	46849
yor	418003	12801041	7755014
yua	170991	3563958	3333325
yue	5906	82754	66837
zai	148976	2768834	2767011
zho	17287870	745125897	508821873
zib	318	9143	8624
zlm	73343	1145749	1380131
zne	193079	4443741	3638178
zpa	360	6329	6551
zsl	66	1643	1347
zsm	1190	9446	10402
zul	972674	13804483	18582860
zza	522	2994	3299
