Test Name	Language	BLEU
newstest2019_kken	KAZ	10.5
NTTalksv1	KAZ	10.5
NTTalksv1	MON	9.7
Indian-6	MAL	8.9
OPUS100v1	BRE	8.3
Indian-6	TAM	8
wikipedia_devtest_kmen	KHM	7.4
Indian-6	TEL	6.7
OPUS100v1	SME	6.4
wikipedia_devtest_psen	PUS	5.4
OPUS100v1	YID	3.5
